F,n,x0,force_x,force_y,abs(force),max_height
0.25,0.2,0.2,5.75331,-0.875802,5.81959,2.62355
0.5,0.2,0.2,3.80559,-0.604042,3.85323,2.10381
1,0.2,0.2,2.58986,-0.429028,2.62516,1.71153
0.05,0.3,0.2,14.5554,-2.38161,14.749,4.23202
0.1,0.3,0.2,9.66146,-1.60274,9.79349,3.40643
0.25,0.3,0.2,5.59724,-0.946574,5.67671,2.55833
0.5,0.3,0.2,3.73834,-0.64461,3.79351,2.06968
1,0.3,0.2,2.55924,-0.451798,2.59882,1.69377
0.05,0.4,0.2,13.9561,-2.52225,14.1822,4.01398
0.1,0.4,0.2,9.42433,-1.69728,9.57594,3.28589
0.25,0.4,0.2,5.53204,-0.996695,5.62111,2.50806
0.5,0.4,0.2,3.71211,-0.673714,3.77275,2.04415
1,0.4,0.2,2.54744,-0.468225,2.59011,1.68075
0.05,0.5,0.2,13.6648,-2.61702,13.9131,3.82789
0.1,0.5,0.2,9.32817,-1.76479,9.49364,3.18711
0.25,0.5,0.2,5.51402,-1.03397,5.61013,2.46857
0.5,0.5,0.2,3.70661,-0.695687,3.77133,2.02463
1,0.5,0.2,2.54503,-0.480717,2.59003,1.67089
0.05,0.6,0.2,13.5627,-2.68219,13.8253,3.8066
0.1,0.6,0.2,9.31512,-1.81435,9.49017,3.15114
0.25,0.6,0.2,5.52209,-1.06251,5.62338,2.44005
0.5,0.6,0.2,3.71209,-0.71276,3.7799,2.00982
1,0.6,0.2,2.54744,-0.490491,2.59423,1.66338
0.05,0.7,0.2,13.5744,-2.72655,13.8455,3.8656
0.1,0.7,0.2,9.35041,-1.8513,9.53192,3.17935
0.25,0.7,0.2,5.54443,-1.08485,5.64957,2.44392
0.5,0.7,0.2,3.72337,-0.726331,3.79355,2.00502
1,0.7,0.2,2.55235,-0.498317,2.60054,1.65858
0.05,0.8,0.2,13.6583,-2.75664,13.9338,3.92312
0.1,0.8,0.2,9.41469,-1.87931,9.60043,3.21188
0.25,0.8,0.2,5.5748,-1.10271,5.68281,2.45521
0.5,0.8,0.2,3.73779,-0.737353,3.80982,2.00832
1,0.8,0.2,2.55859,-0.504717,2.6079,1.6585
0.05,0.9,0.2,13.7875,-2.77646,14.0643,3.97596
0.1,0.9,0.2,9.49635,-1.90084,9.68472,3.2432
0.25,0.9,0.2,5.60945,-1.11724,5.71963,2.46812
0.5,0.9,0.2,3.75376,-0.746451,3.82726,2.01367
1,0.9,0.2,2.56547,-0.510036,2.61568,1.66024
0.05,1,0.2,13.9424,-2.78848,14.2185,4.0241
0.1,1,0.2,9.58767,-1.91753,9.77754,3.27252
0.25,1,0.2,5.64606,-1.12921,5.75787,2.48116
0.5,1,0.2,3.77033,-0.754066,3.845,2.01978
1,1,0.2,2.57259,-0.514517,2.62353,1.66268
0.05,1.1,0.2,14.1086,-2.79401,14.3826,4.06713
0.1,1.1,0.2,9.68029,-1.92986,9.87078,3.29947
0.25,1.1,0.2,5.682,-1.13896,5.79503,2.49352
0.5,1.1,0.2,3.78639,-0.760405,3.86199,2.02597
1,1.1,0.2,2.57944,-0.518288,2.631,1.66535
0.05,1.2,0.2,14.2883,-2.79624,14.5593,4.10815
0.1,1.2,0.2,9.77721,-1.93978,9.96777,3.32444
0.25,1.2,0.2,5.71853,-1.14727,5.83248,2.50539
0.5,1.2,0.2,3.80258,-0.765879,3.87894,2.03204
1,1.2,0.2,2.58635,-0.521558,2.63841,1.66823
0.05,1.3,0.2,14.4724,-2.79544,14.7399,4.14432
0.1,1.3,0.2,9.8737,-1.9474,10.0639,3.34726
0.25,1.3,0.2,5.75414,-1.15429,5.86878,2.51654
0.5,1.3,0.2,3.81824,-0.770579,3.89522,2.03786
1,1.3,0.2,2.59301,-0.524389,2.6455,1.67107
0.05,1.4,0.2,14.6559,-2.79188,14.9194,4.17818
0.1,1.4,0.2,9.96873,-1.95316,10.1583,3.36871
0.25,1.4,0.2,5.78869,-1.16024,5.90382,2.5269
0.5,1.4,0.2,3.83334,-0.774644,3.91083,2.04337
1,1.4,0.2,2.59942,-0.526857,2.65227,1.6738
0.05,1.5,0.2,14.8433,-2.7889,15.103,4.20938
0.1,1.5,0.2,10.0643,-1.95867,10.2531,3.38811
0.25,1.5,0.2,5.82297,-1.16574,5.93851,2.5367
0.5,1.5,0.2,3.84827,-0.778365,3.9262,2.04876
1,1.5,0.2,2.60576,-0.529102,2.65894,1.67644
0.05,1.6,0.2,15.0254,-2.78383,15.2811,4.23765
0.1,1.6,0.2,10.1545,-1.96232,10.3424,3.40615
0.25,1.6,0.2,5.85491,-1.17026,5.97072,2.54553
0.5,1.6,0.2,3.86209,-0.781525,3.94037,2.05362
1,1.6,0.2,2.61159,-0.531038,2.66504,1.67895
0.05,1.7,0.2,15.2015,-2.77725,15.4531,4.26569
0.1,1.7,0.2,10.2419,-1.96501,10.4287,3.42318
0.25,1.7,0.2,5.88554,-1.17416,6.00152,2.55403
0.5,1.7,0.2,3.87529,-0.784312,3.95386,2.05834
1,1.7,0.2,2.61717,-0.532759,2.67084,1.68139
0.05,1.8,0.2,15.3745,-2.77031,15.6221,4.29116
0.1,1.8,0.2,10.3269,-1.96716,10.5126,3.43904
0.25,1.8,0.2,5.9151,-1.17763,6.03119,2.56209
0.5,1.8,0.2,3.88798,-0.786812,3.96679,2.06277
1,1.8,0.2,2.62252,-0.534309,2.67639,1.68368
0.05,1.9,0.2,15.5419,-2.76302,15.7856,4.31431
0.1,1.9,0.2,10.4074,-1.96848,10.5919,3.45436
0.25,1.9,0.2,5.94285,-1.1806,6.05899,2.56947
0.5,1.9,0.2,3.89986,-0.78901,3.97888,2.06681
1,1.9,0.2,2.62751,-0.535686,2.68156,1.68577
0.05,2,0.2,15.7049,-2.75565,15.9449,4.33643
0.1,2,0.2,10.4859,-1.96962,10.6693,3.46862
0.25,2,0.2,5.96976,-1.18331,6.0859,2.57645
0.5,2,0.2,3.91135,-0.791022,3.99053,2.07079
1,2,0.2,2.63234,-0.536948,2.68655,1.68792
0.05,2.1,0.2,15.8651,-2.74894,16.1015,4.3574
0.1,2.1,0.2,10.5616,-1.97056,10.7439,3.48128
0.25,2.1,0.2,5.99548,-1.18577,6.11162,2.58326
0.5,2.1,0.2,3.9223,-0.792859,4.00163,2.07462
1,2.1,0.2,2.63693,-0.538101,2.69127,1.6899
0.05,2.2,0.2,16.0217,-2.74297,16.2548,4.37733
