F,n,x0,force_x,force_y,abs(force),max_height
1,2.6,0.2,5.57979,-0.465757,5.5992,1.75831
0.05,2.7,0.2,39.476,-2.79,39.5745,4.84137
0.1,2.7,0.2,24.5256,-1.78819,24.5907,3.79472
0.25,2.7,0.2,13.185,-1.00618,13.2233,2.75698
0.5,2.7,0.2,8.43506,-0.668782,8.46153,2.185
1,2.7,0.2,5.58353,-0.460901,5.60252,1.75869
0.05,2.8,0.2,39.6287,-2.7319,39.7227,4.8624
0.1,2.8,0.2,24.5862,-1.75461,24.6487,3.80602
0.25,2.8,0.2,13.2039,-0.990738,13.241,2.76112
0.5,2.8,0.2,8.44383,-0.660415,8.46962,2.18667
1,2.8,0.2,5.58792,-0.456398,5.60653,1.75949
0.05,2.9,0.2,39.7878,-2.67702,39.8778,4.8822
0.1,2.9,0.2,24.6503,-1.72276,24.7104,3.81677
0.25,2.9,0.2,13.2241,-0.976039,13.2601,2.76574
0.5,2.9,0.2,8.45308,-0.652433,8.47822,2.18911
1,2.9,0.2,5.59246,-0.452095,5.6107,1.76079
0.05,3,0.2,39.9352,-2.62397,40.0213,4.90039
0.1,3,0.2,24.7101,-1.69229,24.768,3.82664
0.25,3,0.2,13.2432,-0.962073,13.2781,2.77
0.5,3,0.2,8.46188,-0.644869,8.48642,2.19137
1,3,0.2,5.59679,-0.448023,5.61469,1.76198
0.05,3.1,0.2,40.089,-2.57427,40.1716,4.91773
0.1,3.1,0.2,24.7732,-1.66362,24.829,3.83608
0.25,3.1,0.2,13.2634,-0.948893,13.2973,2.7741
0.5,3.1,0.2,8.47122,-0.63772,8.49519,2.19355
1,3.1,0.2,5.60134,-0.44417,5.61892,1.76315
0.05,3.2,0.2,40.2485,-2.52775,40.3278,4.93422
0.1,3.2,0.2,24.8394,-1.63663,24.8933,3.8451
0.25,3.2,0.2,13.2848,-0.936418,13.3178,2.77804
0.5,3.2,0.2,8.48098,-0.630936,8.50442,2.19565
1,3.2,0.2,5.60605,-0.440508,5.62333,1.76427
0.05,3.3,0.2,40.402,-2.48316,40.4782,4.94959
0.1,3.3,0.2,24.9035,-1.61087,24.9555,3.85355
0.25,3.3,0.2,13.3056,-0.924546,13.3377,2.78173
0.5,3.3,0.2,8.49046,-0.624485,8.51339,2.19762
1,3.3,0.2,5.61061,-0.437029,5.62761,1.76532
0.05,3.4,0.2,40.5461,-2.43996,40.6194,4.96392
0.1,3.4,0.2,24.9636,-1.5861,25.0139,3.86141
0.25,3.4,0.2,13.3252,-0.913202,13.3564,2.78517
0.5,3.4,0.2,8.49942,-0.618338,8.52188,2.19946
1,3.4,0.2,5.61494,-0.433718,5.63166,1.76631
0.05,3.5,0.2,40.6921,-2.39914,40.7628,4.97749
0.1,3.5,0.2,25.0248,-1.56262,25.0735,3.8689
0.25,3.5,0.2,13.3451,-0.902417,13.3756,2.78846
0.5,3.5,0.2,8.5085,-0.612484,8.53052,2.20122
1,3.5,0.2,5.61928,-0.430562,5.63575,1.76725
0.05,3.6,0.2,40.8435,-2.36129,40.9117,4.99041
0.1,3.6,0.2,25.0891,-1.54062,25.1364,3.87611
0.25,3.6,0.2,13.3663,-0.892221,13.396,2.79168
0.5,3.6,0.2,8.51815,-0.606929,8.53974,2.20296
1,3.6,0.2,5.62386,-0.427559,5.64009,1.76818
0.05,3.7,0.2,40.9889,-2.32463,41.0547,5.0026
0.1,3.7,0.2,25.1506,-1.51943,25.1964,3.88291
0.25,3.7,0.2,13.3865,-0.882444,13.4155,2.79469
0.5,3.7,0.2,8.52729,-0.601609,8.54849,2.20458
1,3.7,0.2,5.62818,-0.424684,5.64418,1.76905
0.05,3.8,0.2,41.1284,-2.28926,41.192,5.01401
0.1,3.8,0.2,25.2096,-1.49905,25.2542,3.88928
0.25,3.8,0.2,13.4058,-0.873057,13.4342,2.79753
0.5,3.8,0.2,8.53602,-0.596504,8.55684,2.2061
1,3.8,0.2,5.6323,-0.421927,5.64808,1.76986
0.05,3.9,0.2,41.2613,-2.25533,41.3229,5.02474
0.1,3.9,0.2,25.2663,-1.47959,25.3096,3.89528
0.25,3.9,0.2,13.4245,-0.864124,13.4522,2.8002
0.5,3.9,0.2,8.54452,-0.591654,8.56498,2.20754
1,3.9,0.2,5.63633,-0.41931,5.65191,1.77064
0.05,4,0.2,41.3887,-2.2229,41.4483,5.03485
0.1,4,0.2,25.3209,-1.461,25.363,3.9009
0.25,4,0.2,13.4426,-0.855592,13.4698,2.80272
0.5,4,0.2,8.55279,-0.587019,8.57292,2.20891
1,4,0.2,5.64024,-0.416808,5.65562,1.77137
0.05,0.4,0.3,67.8591,-5.74376,68.1018,6.48609
0.1,0.4,0.3,38.4165,-3.9024,38.6142,4.80221
0.25,0.4,0.3,17.5727,-2.0266,17.6891,3.19462
0.5,0.4,0.3,10.2223,-1.26215,10.2999,2.40717
1,0.4,0.3,6.32081,-0.825828,6.37453,1.86987
0.05,0.5,0.3,60.2205,-5.91139,60.5099,6.1813
0.1,0.5,0.3,35.155,-3.93591,35.3746,4.62721
0.25,0.5,0.3,16.699,-2.06009,16.8256,3.1314
0.5,0.5,0.3,9.89338,-1.28678,9.97671,2.37826
1,0.5,0.3,6.19168,-0.8409,6.24852,1.85634
0.05,0.6,0.3,53.5284,-6.03549,53.8676,5.87625
0.1,0.6,0.3,32.1964,-3.95072,32.4379,4.45359
0.25,0.6,0.3,15.8729,-2.086,16.0094,3.06247
0.5,0.6,0.3,9.57543,-1.30695,9.66421,2.34487
1,0.6,0.3,6.06537,-0.853416,6.12512,1.84004
0.05,0.7,0.3,48.2535,-6.08186,48.6353,5.59651
0.1,0.7,0.3,29.7684,-3.94556,30.0287,4.29136
0.25,0.7,0.3,15.1524,-2.09919,15.2972,2.99543
0.5,0.7,0.3,9.29021,-1.31903,9.38338,2.31093
1,0.7,0.3,5.95027,-0.861274,6.01227,1.82306
0.05,0.8,0.3,44.3651,-6.07545,44.7792,5.35237
0.1,0.8,0.3,27.8929,-3.92221,28.1673,4.1495
0.25,0.8,0.3,14.5597,-2.09845,14.7101,2.93391
0.5,0.8,0.3,9.04914,-1.32218,9.14522,2.27945
1,0.8,0.3,5.85161,-0.863979,5.91505,1.80718
0.05,0.9,0.3,41.5569,-6.02228,41.991,5.14647
0.1,0.9,0.3,26.4623,-3.87481,26.7445,4.02671
0.25,0.9,0.3,14.079,-2.08241,14.2322,2.87967
0.5,0.9,0.3,8.84846,-1.31606,8.9458,2.25126
1,0.9,0.3,5.76837,-0.861486,5.83234,1.79307
0.05,1,0.3,39.5664,-5.93496,40.0091,4.97759
0.1,1,0.3,25.3966,-3.80949,25.6807,3.92599
0.25,1,0.3,13.7012,-2.05518,13.8545,2.83396
0.5,1,0.3,8.68722,-1.30308,8.78441,2.2276
1,1,0.3,5.70079,-0.855119,5.76457,1.78115
0.05,1.1,0.3,38.1378,-5.8187,38.5791,4.8434
0.1,1.1,0.3,24.5989,-3.72986,24.8801,3.84475
0.25,1.1,0.3,13.4055,-2.01983,13.5568,2.79652
0.5,1.1,0.3,8.55877,-1.28521,8.65473,2.20816
1,1.1,0.3,5.64657,-0.845984,5.70959,1.77142
0.05,1.2,0.3,37.1357,-5.68607,37.5685,4.74194
0.1,1.2,0.3,24.0133,-3.64239,24.288,3.78157
0.25,1.2,0.3,13.179,-1.9798,13.3269,2.76712
0.5,1.2,0.3,8.45876,-1.26438,8.55273,2.19263
1,1.2,0.3,5.60419,-0.835134,5.66608,1.76373
0.05,1.3,0.3,36.4377,-5.54279,36.8569,4.66764
0.1,1.3,0.3,23.5857,-3.55047,23.8515,3.73392
0.25,1.3,0.3,13.007,-1.93718,13.1504,2.74403
0.5,1.3,0.3,8.38189,-1.24187,8.47338,2.18061
1,1.3,0.3,5.57163,-0.823295,5.63212,1.75774
0.05,1.4,0.3,35.9759,-5.39769,36.3786,4.61608
0.1,1.4,0.3,23.2853,-3.45887,23.5407,3.69951
0.25,1.4,0.3,12.8814,-1.89437,13.02,2.72704
0.5,1.4,0.3,8.32544,-1.21904,8.41422,2.17161
1,1.4,0.3,5.54798,-0.811207,5.60697,1.75331
0.05,1.5,0.3,35.7039,-5.26148,36.0895,4.58249
0.1,1.5,0.3,23.091,-3.37337,23.3361,3.67552
0.25,1.5,0.3,12.7976,-1.85419,12.9313,2.715
0.5,1.5,0.3,8.28857,-1.19752,8.37463,2.16516
1,1.5,0.3,5.53337,-0.799763,5.59087,1.75031
0.05,1.6,0.3,35.5396,-5.12243,35.9069,4.56253
