F,n,x0,force_x,force_y,abs(force),max_height
0.05,2.5,0.2,52.4821,-4.26106,52.6548,5.63039
0.1,2.5,0.2,30.3273,-2.55543,30.4348,4.24551
0.25,2.5,0.2,15.0434,-1.32117,15.1013,2.95589
0.5,2.5,0.2,9.1918,-0.830902,9.22928,2.28604
1,2.5,0.2,5.88404,-0.545985,5.90932,1.80763
0.05,2.6,0.2,52.9035,-4.25555,53.0744,5.64851
0.1,2.6,0.2,30.4812,-2.54851,30.5876,4.25376
0.25,2.6,0.2,15.0858,-1.31684,15.1432,2.9589
0.5,2.6,0.2,9.20853,-0.828382,9.24572,2.28756
1,2.6,0.2,5.89081,-0.544608,5.91593,1.80837
0.05,2.7,0.2,53.3035,-4.24842,53.4725,5.6665
0.1,2.7,0.2,30.6271,-2.54113,30.7323,4.2618
0.25,2.7,0.2,15.1261,-1.31247,15.1829,2.96183
0.5,2.7,0.2,9.22435,-0.825869,9.26125,2.28896
1,2.7,0.2,5.89722,-0.543244,5.92219,1.80905
0.05,2.8,0.2,53.6737,-4.23989,53.8409,5.682
0.1,2.8,0.2,30.7601,-2.53312,30.8642,4.26917
0.25,2.8,0.2,15.1621,-1.3079,15.2184,2.96445
0.5,2.8,0.2,9.23841,-0.823281,9.27502,2.29021
1,2.8,0.2,5.90285,-0.541849,5.92767,1.80964
0.05,2.9,0.2,54.0586,-4.23739,54.2244,5.69856
0.1,2.9,0.2,30.8992,-2.52811,31.0025,4.27694
0.25,2.9,0.2,15.2002,-1.30445,15.256,2.96727
0.5,2.9,0.2,9.2534,-0.821224,9.28977,2.29157
1,2.9,0.2,5.9089,-0.540708,5.93358,1.81029
0.05,3,0.2,54.3929,-4.22942,54.5571,5.71212
0.1,3,0.2,31.0192,-2.52102,31.1215,4.2832
0.25,3,0.2,15.2328,-1.30044,15.2882,2.96973
0.5,3,0.2,9.26615,-0.818952,9.30227,2.29275
1,3,0.2,5.91403,-0.539483,5.93858,1.81086
0.05,3.1,0.2,54.7753,-4.22739,54.9382,5.72688
0.1,3.1,0.2,31.158,-2.51641,31.2594,4.29082
0.25,3.1,0.2,15.2707,-1.29717,15.3257,2.97265
0.5,3.1,0.2,9.2811,-0.816989,9.31699,2.29416
1,3.1,0.2,5.92009,-0.538391,5.94453,1.81154
0.05,3.2,0.2,55.0709,-4.21601,55.232,5.73919
0.1,3.2,0.2,31.2635,-2.50817,31.3639,4.296
0.25,3.2,0.2,15.2993,-1.29293,15.3538,2.97448
0.5,3.2,0.2,9.2922,-0.814658,9.32784,2.29508
1,3.2,0.2,5.92454,-0.537156,5.94884,1.81201
0.05,3.3,0.2,55.3956,-4.21087,55.5554,5.7518
0.1,3.3,0.2,31.3795,-2.50258,31.4791,4.30153
0.25,3.3,0.2,15.3305,-1.28952,15.3847,2.97658
0.5,3.3,0.2,9.30442,-0.812692,9.33985,2.29616
1,3.3,0.2,5.92946,-0.536084,5.95364,1.81256
0.05,3.4,0.2,55.7151,-4.20652,55.8737,5.76427
0.1,3.4,0.2,31.4944,-2.49762,31.5933,4.30732
0.25,3.4,0.2,15.3617,-1.28642,15.4154,2.97865
0.5,3.4,0.2,9.31666,-0.810887,9.35188,2.29714
1,3.4,0.2,5.93439,-0.535094,5.95847,1.81302
0.05,3.5,0.2,56.0184,-4.20167,56.1757,5.77618
0.1,3.5,0.2,31.6031,-2.49255,31.7013,4.31258
0.25,3.5,0.2,15.391,-1.28334,15.4444,2.98052
0.5,3.5,0.2,9.32812,-0.8091,9.36315,2.29802
1,3.5,0.2,5.93899,-0.534117,5.96296,1.81344
0.05,3.6,0.2,56.3105,-4.19676,56.4667,5.78755
0.1,3.6,0.2,31.7069,-2.48748,31.8043,4.31753
0.25,3.6,0.2,15.4189,-1.28029,15.472,2.98226
0.5,3.6,0.2,9.33897,-0.807342,9.3738,2.29884
1,3.6,0.2,5.94338,-0.533163,5.96725,1.81383
0.05,3.7,0.2,56.5953,-4.19021,56.7502,5.79905
0.1,3.7,0.2,31.8091,-2.48185,31.9058,4.32263
0.25,3.7,0.2,15.4465,-1.27709,15.4992,2.98407
0.5,3.7,0.2,9.34978,-0.805524,9.38442,2.29971
1,3.7,0.2,5.94774,-0.53218,5.9715,1.81425
0.05,3.8,0.2,56.8741,-4.18414,57.0278,5.81036
0.1,3.8,0.2,31.9091,-2.47656,32.005,4.32765
0.25,3.8,0.2,15.4734,-1.27405,15.5258,2.98586
0.5,3.8,0.2,9.36026,-0.803795,9.39471,2.30056
1,3.8,0.2,5.95196,-0.531245,5.97562,1.81465
0.05,3.9,0.2,57.129,-4.17695,57.2814,5.82085
0.1,3.9,0.2,32.0001,-2.47098,32.0954,4.33229
0.25,3.9,0.2,15.4978,-1.271,15.5498,2.9875
0.5,3.9,0.2,9.36976,-0.802084,9.40403,2.30134
1,3.9,0.2,5.95578,-0.530329,5.97935,1.81503
0.05,4,0.2,57.3867,-4.17137,57.5381,5.83154
